Video ID,Video Title,Main Description
kavjzsRtuuA,Inside Benny Blanco’s Fun-Filled L.A. Home | Open Door | Architectural Digest,"['ad', 'welcomed', 'hit', 'music', 'producer', 'tour', 'home', 'los', 'built', 'spacious', 'home', 'throw', 'away', 'recording', 'despite', 'proximity', 'design', 'brief', 'help', 'rachel', 'leigh', 'ward', 'dana', 'vitrano', 'bonvivant', 'interiors', 'designer', 'keefe', 'butler', 'studio', 'resulting', 'space', 'eclectic', 'playful', 'plenty', 'kick', 'back', 'relax', 'family', 'including', 'superstar', 'girlfriend', 'selena', 'red', 'velvet', 'movie', 'theatre', 'candy', 'room', 'dressing', 'home', 'full', 'personality', 'fun', 'know', 'house', 'friend', 'told', 'love', 'coming', 'house', 'feel', 'like', 'let', 'go', 'true', 'exactly', 'going', 'shop', 'pieces', 'inspired', 'la', 'buy', 'something', 'retail', 'earn', 'affiliate', 'see', 'la', 'home', 'artwork', 'courtesy', 'night', 'gallery', 'impossible', 'viscosity', 'faig', 'ahmed', 'courtesy', 'artist', 'sapar', 'untitled', 'boxer', 'martin', 'wong', 'foundation', 'courtesy', 'martin', 'wong', 'foundation', 'new', 'york', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
XxPPdlo72ho,Inside Emma Roberts’s Charming Los Angeles Home | Open Door | Architectural Digest,"['ad', 'welcomed', 'tour', 'charming', 'los', 'angeles', 'horror', 'star', 'son', 'moved', 'new', 'enlisted', 'pierce', 'ward', 'work', 'magic', 'rich', 'luxurious', 'velvets', 'pair', 'vintage', 'furniture', 'cozy', 'environment', 'kick', 'back', 'excited', 'idea', 'making', 'dollhouse', 'extensive', 'doll', 'home', 'become', 'new', 'chapter', 'new', 'happier', 'space', 'picture', 'day', 'moved', 'holding', 'sunny', 'california', 'front', 'blue', 'door', 'new', 'remember', 'feeling', 'like', 'exactly', 'need', 'see', 'la', 'home', 'shop', 'pieces', 'inspired', 'la', 'buy', 'something', 'retail', 'earn', 'affiliate', 'artwork', 'graham', 'henry', 'diltz', 'henry', 'diltz', 'photography', 'nyc', 'maripol', 'mitchell', 'pool', 'master', 'photographer', 'norman', 'seeff', 'meg', 'sutton', 'director', 'grant', 'bell', 'leticia', 'villarinho', 'skylar', 'economy', 'line', 'buscemi', 'associate', 'brandon', 'fuhr', 'production', 'melissa', 'heber', 'production', 'fernando', 'davila', 'talent', 'tracy', 'shaffer', 'camera', 'anderson', 'audio', 'cornett', 'production', 'fernando', 'barajas', 'hair', 'bridget', 'jenna', 'anton', 'post', 'production', 'montague', 'post', 'production', 'holly', 'frew', 'supervising', 'christina', 'mankellow', 'fynn', 'lithgow', 'eid', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
VylU-ueLA_g,Inside Joshua Weissman's Minimalist Texas Home | Open Door | Architectural Digest,"['ad', 'welcomed', 'chef', 'youtuber', 'tour', 'minimalist', 'home', 'often', 'said', 'kitchen', 'heart', 'nearly', 'million', 'subscribers', 'following', 'gastronomical', 'youtube', 'kitchen', 'youtube', 'knives', 'prized', 'proudly', 'displayed', 'along', 'magnetized', 'italian', 'carrara', 'countertops', 'add', 'luxurious', 'style', 'function', 'though', 'maybe', 'beautiful', 'beat', 'performance', 'organized', 'perfection', 'save', 'time', 'thought', 'could', 'cooking', 'number', 'one', 'thing', 'kitchen', 'size', 'nice', 'organize', 'operate', 'actually', 'enjoy', 'process', 'think', 'think', 'see', 'austin', 'home', 'shop', 'home', 'buy', 'something', 'retail', 'earn', 'affiliate', 'artwork', 'abstraction', 'ca', 'nicholas', 'ali', 'duo', 'luto', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
xqv0yo_Elj4,Inside Amber Valletta’s Peaceful L.A. Sanctuary | Open Door | Architectural Digest,"['ad', 'welcomed', 'tour', 'peaceful', 'sustainable', 'home', 'los', 'alongside', 'illustrious', 'modeling', 'supermodel', 'also', 'keen', 'climate', 'change', 'came', 'designing', 'sustainability', 'enlisted', 'friend', 'interior', 'designer', 'ross', 'cassidy', 'help', 'design', 'stylish', 'yet', 'paint', 'walls', 'replaced', 'natural', 'clay', 'exterior', 'clad', 'light', 'stone', 'last', 'upholstered', 'furniture', 'sustainable', 'materials', 'went', 'vintage', 'artisanal', 'fill', 'decor', 'full', 'earthy', 'tones', 'organic', 'peaceful', 'sustainable', 'sanctuary', 'looking', 'place', 'come', 'see', 'home', 'shop', 'home', 'buy', 'something', 'retail', 'earn', 'affiliate', 'artwork', 'photographs', 'richard', 'richard', 'avedon', 'foundation', 'ellsworth', 'kelly', 'blue', 'green', 'red', 'portfolio', 'artists', 'edition', 'x', 'inches', 'ellsworth', 'kelly', 'foundation', 'gemini', 'llc', 'glen', 'luchford', 'art', 'partner', 'trunk', 'archive', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
QvoPw_5Sz8U,Inside Tan France’s Dream Home in Salt Lake City | Open Door | Architectural Digest,"['today', 'architectural', 'digest', 'welcomed', 'tour', 'new', 'home', 'salt', 'lake', 'wanting', 'forever', 'home', 'growing', 'star', 'husband', 'bought', 'plot', 'land', 'spent', 'next', 'three', 'years', 'building', 'house', 'ground', 'help', 'fox', 'built', 'grand', 'home', 'bringing', 'together', 'blend', 'south', 'american', 'interior', 'design', 'home', 'project', 'lifetime', 'background', 'stylist', 'designer', 'helped', 'bring', 'house', 'like', 'ever', 'runway', 'tell', 'wanted', 'top', 'house', 'like', 'opening', 'look', 'wanted', 'final', 'look', 'shocking', 'watch', 'home', 'come', 'life', 'see', 'salt', 'lake', 'city', 'home', 'shop', 'home', 'buy', 'something', 'retail', 'earn', 'affiliate', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
9OvibwfflDg,Inside Sofía Vergara’s Stunning Los Angeles Home | Open Door | Architectural Digest,"['today', 'architectural', 'digest', 'welcomed', 'tour', 'stunning', 'home', 'los', 'star', 'quite', 'hands', 'first', 'acquiring', 'palatial', 'beverly', 'park', 'resembled', 'castle', 'might', 'find', 'expert', 'help', 'interior', 'ohara', 'home', 'transformed', 'mediterranean', 'paradise', 'heart', 'european', 'touches', 'fill', 'french', 'limestone', 'fireplace', 'baroque', 'antiques', 'placed', 'beneath', 'italian', 'home', 'truly', 'transport', 'luxurious', 'rivieras', 'europe', 'makes', 'perfect', 'sanctuary', 'enjoy', 'years', 'friends', 'colombia', 'find', 'excuse', 'something', 'place', 'makes', 'guests', 'want', 'still', 'wake', 'every', 'day', 'believe', 'see', 'stunning', 'home', 'shop', 'home', 'buy', 'something', 'retail', 'earn', 'affiliate', 'closet', 'organized', 'linda', 'koopersmith', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
zPUSDU0hrwE,Inside Bryce Dallas Howard’s Charming New York Cottage | Open Door | Architectural Digest,"['architectural', 'digest', 'welcomed', 'tour', 'charming', 'cottage', 'new', 'growing', 'connecticut', 'falling', 'love', 'husband', 'east', 'coast', 'full', 'happy', 'memories', 'made', 'perfect', 'sense', 'la', 'working', 'couple', 'hearts', 'stolen', 'quaint', 'replica', 'inspired', 'jane', 'austen', 'wes', 'enlisted', 'help', 'designer', 'family', 'friend', 'claire', 'thomas', 'brighten', 'previously', 'dark', 'injecting', 'room', 'vibrant', 'colors', 'makes', 'home', 'truly', 'special', 'familial', 'extensive', 'depression', 'glassware', 'collection', 'piano', 'play', 'end', 'became', 'much', 'less', 'aesthetics', 'place', 'spend', 'beautiful', 'space', 'able', 'see', 'charming', 'cottage', 'skylar', 'economy', 'director', 'eric', 'brouse', 'alex', 'mechanik', 'senior', 'vara', 'reese', 'line', 'buscemi', 'associate', 'production', 'melissa', 'heber', 'production', 'fernando', 'davila', 'talent', 'ernesto', 'macias', 'camera', 'berger', 'sound', 'jeff', 'gaumer', 'production', 'rowmel', 'findley', 'post', 'production', 'montague', 'post', 'production', 'holly', 'frew', 'supervising', 'christina', 'mankellow', 'fynn', 'lithgow', 'eid', 'morgan', 'crossley', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
Jzqu48uup54,Inside The White House With President Joe Biden,"['today', 'president', 'united', 'states', 'joseph', 'welcomes', 'architectural', 'digest', 'tour', 'oval', 'office', 'white', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
Li8ubUzLB90,Inside Jesse Tyler Ferguson & Justin Mikita’s Delightful L.A. Home | Architectural Digest,"['today', 'ad', 'welcomed', 'tour', 'delightful', 'home', 'los', 'modern', 'family', 'star', 'husband', 'decided', 'move', 'leafy', 'encino', 'la', 'bid', 'perfect', 'home', 'evolving', 'family', 'life', 'vision', 'calm', 'cozy', 'interior', 'plenty', 'space', 'family', 'hang', 'help', 'mandy', 'blank', 'new', 'build', 'inviting', 'space', 'full', 'soft', 'colors', 'snug', 'resting', 'including', 'king', 'half', 'sized', 'got', 'giggles', 'one', 'night', 'seeing', 'many', 'rolls', 'took', 'like', 'three', 'see', 'home', 'shop', 'pieces', 'inspired', 'modern', 'decor', 'parachute', 'linen', 'duvet', 'citizenry', 'viento', 'lumbar', 'torino', 'white', 'lulu', 'georgia', 'velvet', 'disc', 'reo', 'tall', 'oversized', 'wall', 'connect', 'mosser', 'colored', 'glass', 'cake', 'rugs', 'lulu', 'georgia', 'eoin', 'moroccan', 'elm', 'graduated', 'dot', 'armadillo', 'babylon', 'furniture', 'lulu', 'georgia', 'adrien', 'dining', 'soho', 'home', 'lowden', 'dining', 'burke', 'decor', 'trey', 'dwr', 'nerd', 'lulu', 'georgia', 'delta', 'side', 'noguchi', 'sinclair', 'large', 'round', 'eames', 'executive', 'buy', 'something', 'retail', 'earn', 'affiliate', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
AkTkUOOCZ-w,Inside Ray Romano’s Cozy Desert Hideaway | Open Door | Architectural Digest,"['today', 'architectural', 'digest', 'welcomed', 'anna', 'tour', 'serene', 'desert', 'home', 'la', 'loves', 'star', 'wife', 'worked', 'powerhouse', 'design', 'beautiful', 'comfortable', 'perfect', 'hosting', 'expanding', 'family', 'two', 'four', 'children', 'prepare', 'get', 'moving', 'away', 'americana', 'styles', 'typically', 'find', 'around', 'palm', 'took', 'inspiration', 'italian', 'muted', 'space', 'charm', 'italian', 'letting', 'anna', 'take', 'reigns', 'specific', 'requests', 'new', 'desert', 'wanted', 'kind', 'cozy', 'feel', 'fell', 'love', 'bunk', 'bed', 'room', 'saw', 'sundance', 'kids', 'stayed', 'want', 'room', 'like', 'see', 'anna', 'cozy', 'desert', 'hideaway', 'meg', 'sutton', 'director', 'grant', 'bell', 'alex', 'mechanik', 'anna', 'chase', 'lewis', 'line', 'buscemi', 'associate', 'production', 'peter', 'brunette', 'production', 'balash', 'talent', 'tracy', 'schaffer', 'camera', 'andersen', 'audio', 'cornett', 'production', 'fernando', 'spitaels', 'post', 'production', 'montague', 'post', 'production', 'holly', 'frew', 'supervising', 'christina', 'mankellow', 'symonds', 'special', 'edith', 'garcia', 'art', 'partners', 'lawrence', 'courtesy', 'art', 'partners', 'head', 'left', 'front', 'sipho', 'courtesy', 'art', 'partners', 'fleurs', 'oil', 'x', 'virginie', 'hucher', 'want', 'even', 'subscribe', 'magazine', 'get', 'free', 'tote', 'still', 'subscribed', 'architectural', 'digest', 'architectural', 'digest', 'leading', 'international', 'design', 'architectural', 'digest', 'features', 'articles', 'videos', 'best']"
